Откуда,Куда,Время отправления,Время прибытия,Время в дороге,Маршрут,Взрослый,Детский
Курская,Михайловск,8:30,15:30,420,1,1500,750
Курская,Донское,8:30,16:00,450,1,1500,750
Курская,Безопасное,8:30,16:20,470,1,1500,750
Курская,Красногвардейское,8:30,17:10,520,1,1500,750
Курская,Песчанокопское,8:30,18:10,580,1,1500,750
Курская,Егорлыкская,8:30,19:00,630,1,1500,750
Курская,Мечетинская,8:30,19:20,650,1,1500,750
Курская,Зерноград,8:30,19:30,660,1,1500,750
Курская,Экспериментальный,8:30,19:30,660,1,1500,750
Курская,Кагальницкая,8:30,19:50,680,1,1500,750
Курская,Кировская,8:30,20:10,700,1,1500,750
Курская,Мокрый Батай,8:30,20:35,725,1,1500,750
Курская,Батайск,8:30,20:45,735,1,1500,750
Курская,Аксай,8:30,21:15,765,1,1500,750
Курская,Ростов-на-Дону,8:30,21:15,765,1,1500,750
Курская,Новочеркасск,8:30,21:30,780,1,1500,750
Курская,Новошахтинск,8:30,22:05,815,1,1500,750
Курская,Шахты,8:30,22:05,815,1,1500,750
Курская,Красный Сулин,8:30,22:10,820,1,1500,750
Курская,Зверево,8:30,22:15,825,1,1500,750
Курская,Гуково,8:30,22:15,825,1,1500,750
Курская,Каменск-Шахтинский,8:30,22:30,840,1,1500,750
Курская,Лихой,8:30,22:45,855,1,1500,750
Курская,Тарасовский,8:30,23:00,870,1,1500,750
Курская,Глубокий,8:30,23:20,890,1,1500,750
Курская,Миллерово,8:30,0:05,935,1,1500,750
Курская,Алексеево-Лозовское,8:30,0:20,950,1,1500,750
Курская,Нагибин,8:30,1:20,1010,1,1500,750
Курская,Богучар,8:30,1:40,1030,1,1500,750
Курская,Верхний Мамон,8:30,2:00,1050,1,1500,750
Курская,Павловск,8:30,2:30,1080,1,1560,780
Курская,Лосево,8:30,2:40,1090,1,1560,780
Курская,Бобров,8:30,2:45,1095,1,1560,780
Курская,Лиски,8:30,2:50,1100,1,1560,780
Курская,Каширское,8:30,2:55,1105,1,1560,780
Курская,Воронеж,8:30,3:00,1110,1,1560,780
Курская,Рамонь,8:30,3:20,1130,1,1560,780
Курская,Хлевное,8:30,3:50,1160,1,1560,780
Курская,Задонск,8:30,4:20,1190,1,1560,780
